行区分,氏名,姓ふりがな,名ふりがな,姓ローマ字,名ローマ字,会派,選挙区,任期満了
,青木 愛,あおき,あい,aoki,ai,立憲,比例,令和10年7月25日
,青木 一彦,あおき,かずひこ,aoki,kazuhiko,自民,鳥取・島根,令和10年7月25日
,青島 健太,あおしま,けんた,aoshima,kenta,維新,比例,令和10年7月25日
,青山 繁晴,あおやま,しげはる,aoyama,shigeharu,自民,比例,令和10年7月25日
,赤松 健,あかまつ,けん,akamatsu,ken,自民,比例,令和10年7月25日
,秋野 公造,あきの,こうぞう,akino,kouzou,公明,福岡,令和10年7月25日
,浅尾 慶一郎,あさお,けいいちろう,asao,keiichirou,自民,神奈川,令和10年7月25日
,浅田 均,あさだ,ひとし,asada,hitoshi,維新,大阪,令和10年7月25日
,朝日 健太郎,あさひ,けんたろう,asahi,kentarou,自民,東京,令和10年7月25日
,阿達 雅志,あだち,まさし,adachi,masashi,自民,比例,令和10年7月25日
,足立 康史,あだち,やすし,adachi,yasushi,民主,比例,令和13年7月28日
,安達 悠司,あだち,ゆうじ,adachi,yuuji,参政,比例,令和13年7月28日
,有村 治子,ありむら,はるこ,arimura,haruko,自民,比例,令和13年7月28日
,安藤 裕,あんどう,ひろし,andou,hiroshi,参政,比例,令和13年7月28日
,安野 貴博,あんの,たかひろ,anno,takahiro,無所属,比例,令和13年7月28日
,生稲 晃子[佐山 晃子],いくいな,あきこ,ikuina,akiko,自民,東京,令和10年7月25日
,石井 章,いしい,あきら,ishii,akira,維新,比例,令和10年7月25日
,石井 準一,いしい,じゅんいち,ishii,jun'ichi,自民,千葉,令和13年7月28日
,石井 浩郎,いしい,ひろお,ishii,hiroo,自民,秋田,令和10年7月25日
,石井 苗子,いしい,みつこ,ishii,mitsuko,維新,比例,令和10年7月25日
,石井 めぐみ[根本 めぐみ],いしい,めぐみ,ishii,megumi,維新,比例,令和13年7月28日
,石垣 のりこ[小川 のり子],いしがき,のりこ,ishigaki,noriko,立憲,宮城,令和13年7月28日
,石川 博崇,いしかわ,ひろたか,ishikawa,hirotaka,公明,大阪,令和10年7月25日
,石田 昌宏,いしだ,まさひろ,ishida,masahiro,自民,比例,令和13年7月28日
,石橋 通宏,いしばし,みちひろ,ishibashi,michihiro,立憲,比例,令和10年7月25日
,泉 房穂,いずみ,ふさほ,izumi,fusaho,立憲,兵庫,令和13年7月28日
,伊勢崎 賢治,いせざき,けんじ,isezaki,kenji,れ新,比例,令和13年7月28日
,礒崎 哲史,いそざき,てつじ,isozaki,tetsuji,民主,比例,令和13年7月28日
,磯崎 仁彦,いそざき,よしひこ,isozaki,yoshihiko,自民,香川,令和10年7月25日
,伊藤 孝江,いとう,たかえ,itou,takae,公明,兵庫,令和10年7月25日
,伊藤 孝恵,いとう,たかえ,itou,takae,民主,愛知,令和10年7月25日
,伊藤 辰夫,いとう,たつお,itou,tatsuo,民主,比例,令和13年7月28日
,井上 義行,いのうえ,よしゆき,inoue,yoshiyuki,自民,比例,令和10年7月25日
,猪口 邦子,いのぐち,くにこ,inoguchi,kuniko,自民,千葉,令和10年7月25日
,猪瀬 直樹,いのせ,なおき,inose,naoki,維新,比例,令和10年7月25日
,伊波 洋一,いは,よういち,iha,youichi,沖縄,沖縄,令和10年7月25日
,今井 絵理子,いまい,えりこ,imai,eriko,自民,比例,令和10年7月25日
,岩渕 友,いわぶち,とも,iwabuchi,tomo,共産,比例,令和10年7月25日
,岩本 剛人,いわもと,つよひと,iwamoto,tsuyohito,自民,北海道,令和13年7月28日
,岩本 麻奈[富田 麻奈],いわもと,まな,iwamoto,mana,参政,比例,令和13年7月28日
