氏名,ふりがな（姓）,ふりがな（名）,ローマ字（姓）,ローマ字（名）,会派,選挙区,当選回数
氏名,ふりがな,,Furigana,,会派,選挙区,当選回数
矢崎 堅太郎,やざき,けんたろう,Yazaki,Kentarou,立憲,千葉5,1
谷田川 元,やたがわ,はじめ,Yatagawa,Hajime,立憲,（比）南関東,4
簗 和生,やな,かずお,Yana,Kazuo,自民,栃木3,5
柳沢 剛,やなぎさわ,つよし,Yanagisawa,Tsuyoshi,立憲,宮城3,1
八幡 愛,やはた,あい,Yahata,Ai,れ新,（比）近畿,1
山 登志浩,やま,としひろ,Yama,Toshihiro,立憲,（比）北陸信越,1
山岡 達丸,やまおか,たつまる,Yamaoka,Tatsumaru,立憲,北海道9,4
山川 仁,やまかわ,ひとし,Yamakawa,Hitoshi,れ新,（比）九州,1
山岸 一生,やまぎし,いっせい,Yamagishi,Issei,立憲,東京9,2
山際 大志郎,やまぎわ,だいしろう,Yamagiwa,Daishirou,自民,（比）南関東,7
山口 俊一,やまぐち,しゅんいち,Yamaguchi,Shun'ichi,自民,徳島2,12
山口 壯,やまぐち,つよし,Yamaguchi,Tsuyoshi,自民,兵庫12,8
山口 良治,やまぐち,りょうじ,Yamaguchi,Ryouji,公明,（比）北関東,1
山崎 正恭,やまさき,まさやす,Yamasaki,Masayasu,公明,（比）四国,2
山崎 誠,やまざき,まこと,Yamazaki,Makoto,立憲,（比）南関東,4
山下 貴司,やました,たかし,Yamashita,Takashi,自民,岡山2,5
山田 勝彦,やまだ,かつひこ,Yamada,Katsuhiko,立憲,（比）九州,3
山田 賢司,やまだ,けんじ,Yamada,Kenji,自民,兵庫7,5
山井 和則,やまのい,かずのり,Yamanoi,Kazunori,立憲,京都6,9
山花 郁夫,やまはな,いくお,Yamahana,Ikuo,立憲,東京22,5
山本 大地,やまもと,だいち,Yamamoto,Daichi,自民,和歌山1,1
屋良 朝博,やら,ともひろ,Yara,Tomohiro,立憲,（比）九州,3
柚木 道義,ゆのき,みちよし,Yunoki,Michiyoshi,立憲,岡山4,7
吉川 元,よしかわ,はじめ,Yoshikawa,Hajime,立憲,（比）九州,5
吉川 里奈,よしかわ,りな,Yoshikawa,Rina,参政,（比）九州,1
吉田 真次,よしだ,しんじ,Yoshida,Shinji,自民,（比）中国,2
吉田 宣弘,よしだ,のぶひろ,Yoshida,Nobuhiro,公明,（比）九州,4
吉田 はるみ,よしだ,はるみ,Yoshida,Harumi,立憲,東京8,2
米山 隆一,よねやま,りゅういち,Yoneyama,Ryuuichi,立憲,新潟4,2
