氏名,ふりがな（姓）,ふりがな（名）,ローマ字（姓）,ローマ字（名）,会派,選挙区,当選回数
氏名,ふりがな,,Furigana,,会派,選挙区,当選回数
逢沢 一郎,あいさわ,いちろう,Aisawa,Ichirou,自民,岡山1,13
青柳 仁士,あおやぎ,ひとし,Aoyagi,Hitoshi,維新,大阪14,2
青柳 陽一郎,あおやぎ,よういちろう,Aoyagi,Youichirou,立憲,神奈川6,5
青山 大人,あおやま,やまと,Aoyama,Yamato,立憲,茨城6,3
赤澤 亮正,あかざわ,りょうせい,Akazawa,Ryousei,自民,鳥取2,7
赤羽 一嘉,あかば,かずよし,Akaba,Kazuyoshi,公明,兵庫2,10
あかま 二郎,あかま,じろう,Akama,Jirou,自民,神奈川14,6
赤嶺 政賢,あかみね,せいけん,Akamine,Seiken,共産,沖縄1,9
阿久津 幸彦,あくつ,ゆきひこ,Akutsu,Yukihiko,立憲,東京11,5
浅野 哲,あさの,さとし,Asano,Satoshi,国民,茨城5,3
東 克哉,あずま,かつや,Azuma,Katsuya,立憲,（比）中国,1
東 国幹,あずま,くによし,Azuma,Kuniyoshi,自民,北海道6,2
東 徹,あずま,とおる,Azuma,Tooru,維新,大阪3,1（参2）
安住 淳,あずみ,じゅん,Azumi,Jun,立憲,宮城4,10
麻生 太郎,あそう,たろう,Asou,Tarou,自民,福岡8,15
阿部 圭史,あべ,けいし,Abe,Keishi,維新,（比）近畿,1
阿部 司,あべ,つかさ,Abe,Tsukasa,維新,（比）東京,2
あべ 俊子,あべ,としこ,Abe,Toshiko,自民,（比）九州,7
阿部 知子,あべ,ともこ,Abe,Tomoko,立憲,神奈川12,9
阿部 弘樹,あべ,ひろき,Abe,Hiroki,維新,（比）九州,2
阿部 祐美子,あべ,ゆみこ,Abe,Yumiko,立憲,（比）東京,1
荒井 優,あらい,ゆたか,Arai,Yutaka,立憲,北海道3,2
新垣 邦男,あらかき,くにお,Arakaki,Kunio,立憲,沖縄2,2
有田 芳生,ありた,よしふ,Arita,Yoshifu,立憲,（比）東京,1（参2）
